Organisational Family	Organisation	Category	Service Type	Price
Cabinet Office	Cabinet Office	Professional Services Other	Clinical Support Services	0.00
Cabinet Office	Cabinet Office	Professional Services Other	Environmental Services	0.00
Cabinet Office	Cabinet Office	Professional Services Other	Financial Services	7579962.00
Cabinet Office	Cabinet Office	Professional Services Other	Interpretation & Translation Services	0.00
Cabinet Office	Cabinet Office	Professional Services Other	Learning & Development Services	5109464.00
Cabinet Office	Cabinet Office	Professional Services Other	Legal Services	2580731.00
Cabinet Office	Cabinet Office	Professional Services Other	Operational Services	33311310.00
Cabinet Office	Cabinet Office	Professional Services Other	Technical Services	32232.00
Cabinet Office	Cabinet Office	Professional Services Other	Uncategorised	0.00
Cabinet Office	Cabinet Office	Professional Services Temporary Staff	Admin & Clerical	1874432.00
Cabinet Office	Cabinet Office	Professional Services Temporary Staff	Interim Managers	0.00
Cabinet Office	Cabinet Office	Professional Services Temporary Staff	Specialist Contractors	0.00
Cabinet Office	Cabinet Office	Professional Services Temporary Staff	Uncategorised	0.00
Cabinet Office	Cabinet Office	Professional Services Consultancy	Finance Consultancy	403579.00
Cabinet Office	Cabinet Office	Professional Services Consultancy	"Human Resource, Training & Education Consultancy"	440102.00
Cabinet Office	Cabinet Office	Professional Services Consultancy	IT/IS Consultancy	4273813.00
Cabinet Office	Cabinet Office	Professional Services Consultancy	Legal Consultancy	477337.00
Cabinet Office	Cabinet Office	Professional Services Consultancy	Marketing & Communications Consultancy	1221214.00
Cabinet Office	Cabinet Office	Professional Services Consultancy	Org & Change Management Consultancy	0.00
Cabinet Office	Cabinet Office	Professional Services Consultancy	PPM Consultancy	0.00
Cabinet Office	Cabinet Office	Professional Services Consultancy	Procurement Consultancy	0.00
Cabinet Office	Cabinet Office	Professional Services Consultancy	Property & Construction Consultancy	616483.00
Cabinet Office	Cabinet Office	Professional Services Consultancy	Strategy Consultancy	3188335.00
Cabinet Office	Cabinet Office	Professional Services Consultancy	Technical Consultancy	8397416.00
Cabinet Office	Cabinet Office	Professional Services Consultancy	Uncategorised	0.00
Cabinet Office	Cabinet Office	Personnel Related	Events Admissions	95363.00
Cabinet Office	Cabinet Office	Personnel Related	Staff Childcare	103895.00
Cabinet Office	Cabinet Office	Personnel Related	Staff Health & Safety	0.00
Cabinet Office	Cabinet Office	Personnel Related	Staff Medical Care	0.00
Cabinet Office	Cabinet Office	Personnel Related	Staff Relocation	0.00
Cabinet Office	Cabinet Office	Personnel Related	Staff Subscriptions	12402.00
Cabinet Office	Cabinet Office	Personnel Related	Uncategorised	0.00
Cabinet Office	Cabinet Office	Social Care	Adult Social Care	0.00
Cabinet Office	Cabinet Office	Social Care	Child Social Care	0.00
Cabinet Office	Cabinet Office	Social Care	Educational Programmes	0.00
Cabinet Office	Cabinet Office	Social Care	Emergency Services	0.00
Cabinet Office	Cabinet Office	Social Care	Entertainment Services	0.00
Cabinet Office	Cabinet Office	Social Care	Legal Aid	0.00
Cabinet Office	Cabinet Office	Social Care	Operation of Custodial Facilities	0.00
Cabinet Office	Cabinet Office	Social Care	Transport Provision	0.00
Cabinet Office	Cabinet Office	Social Care	Welfare to Work	0.00
Cabinet Office	Cabinet Office	Social Care	World Programmes	0.00
Cabinet Office	Cabinet Office	Social Care	Uncategorised	0.00
Cabinet Office	Cabinet Office	Marketing & Media	Advertising	22202.00
Cabinet Office	Cabinet Office	Marketing & Media	Marketing	2173900.00
Cabinet Office	Cabinet Office	Marketing & Media	Promotion	1200860.00
Cabinet Office	Cabinet Office	Marketing & Media	Uncategorised	0.00
Cabinet Office	Cabinet Office	Facilities	Accommodation Services	0.00
Cabinet Office	Cabinet Office	Facilities	Building Management	35990881.00
Cabinet Office	Cabinet Office	Facilities	Catering	274890.00
Cabinet Office	Cabinet Office	Facilities	Cleaning	0.00
Cabinet Office	Cabinet Office	Facilities	Food	0.00
Cabinet Office	Cabinet Office	Facilities	Office Furniture	134888.00
Cabinet Office	Cabinet Office	Facilities	Security	7988.00
Cabinet Office	Cabinet Office	Facilities	Uncategorised	0.00
Cabinet Office	Cabinet Office	Clinical & Medical	Drugs & Biologicals	0.00
Cabinet Office	Cabinet Office	Clinical & Medical	Medical & Surgical Consumables	0.00
Cabinet Office	Cabinet Office	Clinical & Medical	Medical & Surgical Equipment	0.00
Cabinet Office	Cabinet Office	Clinical & Medical	Pathology	0.00
Cabinet Office	Cabinet Office	Clinical & Medical	Patients Appliances	0.00
Cabinet Office	Cabinet Office	Clinical & Medical	Radiological & Diagnostic	0.00
Cabinet Office	Cabinet Office	Clinical & Medical	Uncategorised	0.00
Cabinet Office	Cabinet Office	Office Solutions	Office Consumables	0.00
Cabinet Office	Cabinet Office	Office Solutions	Office Machines	75325.00
Cabinet Office	Cabinet Office	Office Solutions	Office Services	0.00
Cabinet Office	Cabinet Office	Office Solutions	Office Supplies	604226.00
Cabinet Office	Cabinet Office	Office Solutions	Post & Courier	514533.00
Cabinet Office	Cabinet Office	Office Solutions	Print	0.00
Cabinet Office	Cabinet Office	Office Solutions	Records Storage	0.00
Cabinet Office	Cabinet Office	Office Solutions	Reprographics	326130.00
Cabinet Office	Cabinet Office	Office Solutions	Uncategorised	0.00
Cabinet Office	Cabinet Office	Construction	Building Repair & Maintenance	0.00
Cabinet Office	Cabinet Office	Construction	Construction Service Providers	0.00
Cabinet Office	Cabinet Office	Construction	Construction Supplies	0.00
Cabinet Office	Cabinet Office	Construction	Design & Build	0.00
Cabinet Office	Cabinet Office	Construction	Main Contractors	0.00
Cabinet Office	Cabinet Office	Construction	Prime Contractors	0.00
Cabinet Office	Cabinet Office	Construction	Uncategorised	0.00
Cabinet Office	Cabinet Office	ICT	Hardware	12613227.00
Cabinet Office	Cabinet Office	ICT	Maintenance & Support	12305328.00
Cabinet Office	Cabinet Office	ICT	Managed / Outsourced Services	332673.00
Cabinet Office	Cabinet Office	ICT	Networking	0.00
Cabinet Office	Cabinet Office	ICT	Software	1624391.00
Cabinet Office	Cabinet Office	ICT	Systems Delivery	0.00
Cabinet Office	Cabinet Office	ICT	Telecoms	19919581.00
Cabinet Office	Cabinet Office	ICT	Uncategorised	0.00
Cabinet Office	Cabinet Office	Logistics	Transport	0.00
Cabinet Office	Cabinet Office	Logistics	Warehousing & Storage	0.00
Cabinet Office	Cabinet Office	Logistics	Uncategorised	0.00
Cabinet Office	Cabinet Office	Travel	Air	7178544.00
Cabinet Office	Cabinet Office	Travel	Booking Services	0.00
Cabinet Office	Cabinet Office	Travel	Coach	0.00
Cabinet Office	Cabinet Office	Travel	Events Organisation	2425957.00
Cabinet Office	Cabinet Office	Travel	Ferry	0.00
Cabinet Office	Cabinet Office	Travel	Hotels	400000.00
Cabinet Office	Cabinet Office	Travel	Rail	1149756.00
Cabinet Office	Cabinet Office	Travel	Taxi	600000.00
Cabinet Office	Cabinet Office	Travel	Vehicle Hire	1670780.00
Cabinet Office	Cabinet Office	Travel	Uncategorised	0.00
Cabinet Office	Cabinet Office	Defence	Airborne Goods and Services	0.00
Cabinet Office	Cabinet Office	Defence	Marine Goods and Services	0.00
Cabinet Office	Cabinet Office	Defence	Military Systems	0.00
Cabinet Office	Cabinet Office	Defence	Munitions	0.00
Cabinet Office	Cabinet Office	Defence	Wheeled / Tracked Goods and Services	0.00
Cabinet Office	Cabinet Office	Defence	Uncategorised	0.00
Cabinet Office	Cabinet Office	Energy & Utilities	Electricity	1738429.00
Cabinet Office	Cabinet Office	Energy & Utilities	Gas	106702.00
Cabinet Office	Cabinet Office	Energy & Utilities	Solid Fuels	745.00
Cabinet Office	Cabinet Office	Energy & Utilities	Water	152868.00
Cabinet Office	Cabinet Office	Energy & Utilities	Uncategorised	0.00
Cabinet Office	Cabinet Office	Fuels Lubricants & Gases	Fuels	0.00
Cabinet Office	Cabinet Office	Fuels Lubricants & Gases	Gases	0.00
Cabinet Office	Cabinet Office	Fuels Lubricants & Gases	Lubricants	0.00
Cabinet Office	Cabinet Office	Fuels Lubricants & Gases	Uncategorised	0.00
Cabinet Office	Cabinet Office	Vehicles	Fleet Management	0.00
Cabinet Office	Cabinet Office	Vehicles	Leasing	0.00
Cabinet Office	Cabinet Office	Vehicles	Purchase	0.00
Cabinet Office	Cabinet Office	Vehicles	Vehicle Disposal	0.00
Cabinet Office	Cabinet Office	Vehicles	Vehicle Maintenance	10388.00
Cabinet Office	Cabinet Office	Vehicles	Uncategorised	0.00
Cabinet Office	Cabinet Office	Operational Goods	Animal Related Goods	0.00
Cabinet Office	Cabinet Office	Operational Goods	Art & Exhibits	0.00
Cabinet Office	Cabinet Office	Operational Goods	Clothing	3492.00
Cabinet Office	Cabinet Office	Operational Goods	Domestic Goods	1925663.00
Cabinet Office	Cabinet Office	Operational Goods	Environmental Materials	0.00
Cabinet Office	Cabinet Office	Operational Goods	Learning & Development Materials	1124583.00
Cabinet Office	Cabinet Office	Operational Goods	Non-Catering Vending Machines	0.00
Cabinet Office	Cabinet Office	Operational Goods	Uncategorised	0.00
Cabinet Office	Cabinet Office	Engineering Goods	Industrial	0.00
Cabinet Office	Cabinet Office	Engineering Goods	Non-Medical Chemicals	0.00
Cabinet Office	Cabinet Office	Engineering Goods	Tools	0.00
Cabinet Office	Cabinet Office	Engineering Goods	Uncategorised	0.00
Cabinet Office	Cabinet Office	Waste Management	Waste Management Materials	0.00
Cabinet Office	Cabinet Office	Waste Management	Waste Management Services	0.00
Cabinet Office	Cabinet Office	Waste Management	Uncategorised	0.00
Cabinet Office	Capacity Builders	Professional Services Other	Clinical Support Services	0.00
Cabinet Office	Capacity Builders	Professional Services Other	Environmental Services	0.00
Cabinet Office	Capacity Builders	Professional Services Other	Financial Services	111030.00
Cabinet Office	Capacity Builders	Professional Services Other	Interpretation & Translation Services	0.00
Cabinet Office	Capacity Builders	Professional Services Other	Learning & Development Services	24132.00
Cabinet Office	Capacity Builders	Professional Services Other	Legal Services	110019.00
Cabinet Office	Capacity Builders	Professional Services Other	Operational Services	0.00
Cabinet Office	Capacity Builders	Professional Services Other	Technical Services	0.00
Cabinet Office	Capacity Builders	Professional Services Other	Uncategorised	0.00
Cabinet Office	Capacity Builders	Professional Services Temporary Staff	Admin & Clerical	0.00
Cabinet Office	Capacity Builders	Professional Services Temporary Staff	Interim Managers	582773.00
Cabinet Office	Capacity Builders	Professional Services Temporary Staff	Specialist Contractors	0.00
Cabinet Office	Capacity Builders	Professional Services Temporary Staff	Uncategorised	0.00
Cabinet Office	Capacity Builders	Professional Services Consultancy	Finance Consultancy	0.00
Cabinet Office	Capacity Builders	Professional Services Consultancy	"Human Resource, Training & Education Consultancy"	149623.00
Cabinet Office	Capacity Builders	Professional Services Consultancy	IT/IS Consultancy	0.00
Cabinet Office	Capacity Builders	Professional Services Consultancy	Legal Consultancy	0.00
Cabinet Office	Capacity Builders	Professional Services Consultancy	Marketing & Communications Consultancy	0.00
Cabinet Office	Capacity Builders	Professional Services Consultancy	Org & Change Management Consultancy	0.00
Cabinet Office	Capacity Builders	Professional Services Consultancy	PPM Consultancy	0.00
Cabinet Office	Capacity Builders	Professional Services Consultancy	Procurement Consultancy	0.00
Cabinet Office	Capacity Builders	Professional Services Consultancy	Property & Construction Consultancy	0.00
Cabinet Office	Capacity Builders	Professional Services Consultancy	Strategy Consultancy	0.00
Cabinet Office	Capacity Builders	Professional Services Consultancy	Technical Consultancy	0.00
Cabinet Office	Capacity Builders	Professional Services Consultancy	Uncategorised	0.00
Cabinet Office	Capacity Builders	Personnel Related	Events Admissions	0.00
Cabinet Office	Capacity Builders	Personnel Related	Staff Childcare	0.00
Cabinet Office	Capacity Builders	Personnel Related	Staff Health & Safety	0.00
Cabinet Office	Capacity Builders	Personnel Related	Staff Medical Care	0.00
Cabinet Office	Capacity Builders	Personnel Related	Staff Relocation	0.00
Cabinet Office	Capacity Builders	Personnel Related	Staff Subscriptions	161.00
Cabinet Office	Capacity Builders	Personnel Related	Uncategorised	0.00
Cabinet Office	Capacity Builders	Social Care	Adult Social Care	0.00
Cabinet Office	Capacity Builders	Social Care	Child Social Care	0.00
Cabinet Office	Capacity Builders	Social Care	Educational Programmes	0.00
Cabinet Office	Capacity Builders	Social Care	Emergency Services	0.00
Cabinet Office	Capacity Builders	Social Care	Entertainment Services	0.00
Cabinet Office	Capacity Builders	Social Care	Legal Aid	0.00
Cabinet Office	Capacity Builders	Social Care	Operation of Custodial Facilities	0.00
Cabinet Office	Capacity Builders	Social Care	Transport Provision	0.00
Cabinet Office	Capacity Builders	Social Care	Welfare to Work	0.00
Cabinet Office	Capacity Builders	Social Care	World Programmes	0.00
Cabinet Office	Capacity Builders	Social Care	Uncategorised	0.00
Cabinet Office	Capacity Builders	Marketing & Media	Advertising	100828.00
Cabinet Office	Capacity Builders	Marketing & Media	Marketing	56439.00
Cabinet Office	Capacity Builders	Marketing & Media	Promotion	29869.00
Cabinet Office	Capacity Builders	Marketing & Media	Uncategorised	0.00
Cabinet Office	Capacity Builders	Facilities	Accommodation Services	0.00
Cabinet Office	Capacity Builders	Facilities	Building Management	130345.00
Cabinet Office	Capacity Builders	Facilities	Catering	2649.00
Cabinet Office	Capacity Builders	Facilities	Cleaning	8361.00
Cabinet Office	Capacity Builders	Facilities	Food	0.00
Cabinet Office	Capacity Builders	Facilities	Office Furniture	54777.00
Cabinet Office	Capacity Builders	Facilities	Security	8793.00
Cabinet Office	Capacity Builders	Facilities	Uncategorised	0.00
Cabinet Office	Capacity Builders	Clinical & Medical	Drugs & Biologicals	0.00
Cabinet Office	Capacity Builders	Clinical & Medical	Medical & Surgical Consumables	0.00
Cabinet Office	Capacity Builders	Clinical & Medical	Medical & Surgical Equipment	0.00
Cabinet Office	Capacity Builders	Clinical & Medical	Pathology	0.00
Cabinet Office	Capacity Builders	Clinical & Medical	Patients Appliances	0.00
Cabinet Office	Capacity Builders	Clinical & Medical	Radiological & Diagnostic	0.00
Cabinet Office	Capacity Builders	Clinical & Medical	Uncategorised	0.00
Cabinet Office	Capacity Builders	Office Solutions	Office Consumables	26392.00
Cabinet Office	Capacity Builders	Office Solutions	Office Machines	1993.00
Cabinet Office	Capacity Builders	Office Solutions	Office Services	0.00
Cabinet Office	Capacity Builders	Office Solutions	Office Supplies	10735.00
Cabinet Office	Capacity Builders	Office Solutions	Post & Courier	4458.00
Cabinet Office	Capacity Builders	Office Solutions	Print	25882.00
Cabinet Office	Capacity Builders	Office Solutions	Records Storage	0.00
Cabinet Office	Capacity Builders	Office Solutions	Reprographics	0.00
Cabinet Office	Capacity Builders	Office Solutions	Uncategorised	0.00
Cabinet Office	Capacity Builders	Construction	Building Repair & Maintenance	0.00
Cabinet Office	Capacity Builders	Construction	Construction Service Providers	0.00
Cabinet Office	Capacity Builders	Construction	Construction Supplies	0.00
Cabinet Office	Capacity Builders	Construction	Design & Build	0.00
Cabinet Office	Capacity Builders	Construction	Main Contractors	0.00
Cabinet Office	Capacity Builders	Construction	Prime Contractors	0.00
Cabinet Office	Capacity Builders	Construction	Uncategorised	0.00
Cabinet Office	Capacity Builders	ICT	Hardware	124919.00
Cabinet Office	Capacity Builders	ICT	Maintenance & Support	55565.00
Cabinet Office	Capacity Builders	ICT	Managed / Outsourced Services	0.00
Cabinet Office	Capacity Builders	ICT	Networking	0.00
Cabinet Office	Capacity Builders	ICT	Software	70640.00
Cabinet Office	Capacity Builders	ICT	Systems Delivery	0.00
Cabinet Office	Capacity Builders	ICT	Telecoms	74646.00
Cabinet Office	Capacity Builders	ICT	Uncategorised	0.00
Cabinet Office	Capacity Builders	Logistics	Transport	0.00
Cabinet Office	Capacity Builders	Logistics	Warehousing & Storage	0.00
Cabinet Office	Capacity Builders	Logistics	Uncategorised	0.00
Cabinet Office	Capacity Builders	Travel	Air	0.00
Cabinet Office	Capacity Builders	Travel	Booking Services	30391.00
Cabinet Office	Capacity Builders	Travel	Coach	0.00
Cabinet Office	Capacity Builders	Travel	Events Organisation	0.00
Cabinet Office	Capacity Builders	Travel	Ferry	0.00
Cabinet Office	Capacity Builders	Travel	Hotels	10704.00
Cabinet Office	Capacity Builders	Travel	Rail	52403.00
Cabinet Office	Capacity Builders	Travel	Taxi	0.00
Cabinet Office	Capacity Builders	Travel	Vehicle Hire	0.00
Cabinet Office	Capacity Builders	Travel	Uncategorised	0.00
Cabinet Office	Capacity Builders	Defence	Airborne Goods and Services	0.00
Cabinet Office	Capacity Builders	Defence	Marine Goods and Services	0.00
Cabinet Office	Capacity Builders	Defence	Military Systems	0.00
Cabinet Office	Capacity Builders	Defence	Munitions	0.00
Cabinet Office	Capacity Builders	Defence	Wheeled / Tracked Goods and Services	0.00
Cabinet Office	Capacity Builders	Defence	Uncategorised	0.00
Cabinet Office	Capacity Builders	Energy & Utilities	Electricity	49164.00
Cabinet Office	Capacity Builders	Energy & Utilities	Gas	0.00
Cabinet Office	Capacity Builders	Energy & Utilities	Solid Fuels	0.00
Cabinet Office	Capacity Builders	Energy & Utilities	Water	0.00
Cabinet Office	Capacity Builders	Energy & Utilities	Uncategorised	0.00
Cabinet Office	Capacity Builders	Fuels Lubricants & Gases	Fuels	0.00
Cabinet Office	Capacity Builders	Fuels Lubricants & Gases	Gases	0.00
Cabinet Office	Capacity Builders	Fuels Lubricants & Gases	Lubricants	0.00
Cabinet Office	Capacity Builders	Fuels Lubricants & Gases	Uncategorised	0.00
Cabinet Office	Capacity Builders	Vehicles	Fleet Management	0.00
Cabinet Office	Capacity Builders	Vehicles	Leasing	0.00
Cabinet Office	Capacity Builders	Vehicles	Purchase	0.00
Cabinet Office	Capacity Builders	Vehicles	Vehicle Disposal	0.00
Cabinet Office	Capacity Builders	Vehicles	Vehicle Maintenance	0.00
Cabinet Office	Capacity Builders	Vehicles	Uncategorised	0.00
Cabinet Office	Capacity Builders	Operational Goods	Animal Related Goods	0.00
Cabinet Office	Capacity Builders	Operational Goods	Art & Exhibits	0.00
Cabinet Office	Capacity Builders	Operational Goods	Clothing	0.00
Cabinet Office	Capacity Builders	Operational Goods	Domestic Goods	0.00
Cabinet Office	Capacity Builders	Operational Goods	Environmental Materials	0.00
Cabinet Office	Capacity Builders	Operational Goods	Learning & Development Materials	0.00
Cabinet Office	Capacity Builders	Operational Goods	Non-Catering Vending Machines	0.00
Cabinet Office	Capacity Builders	Operational Goods	Uncategorised	0.00
Cabinet Office	Capacity Builders	Engineering Goods	Industrial	0.00
Cabinet Office	Capacity Builders	Engineering Goods	Non-Medical Chemicals	0.00
Cabinet Office	Capacity Builders	Engineering Goods	Tools	0.00
Cabinet Office	Capacity Builders	Engineering Goods	Uncategorised	0.00
Cabinet Office	Capacity Builders	Waste Management	Waste Management Materials	0.00
Cabinet Office	Capacity Builders	Waste Management	Waste Management Services	0.00
Cabinet Office	Capacity Builders	Waste Management	Uncategorised	0.00
Cabinet Office	Commission for the Compact	Professional Services Other	Clinical Support Services	0.00
Cabinet Office	Commission for the Compact	Professional Services Other	Environmental Services	0.00
Cabinet Office	Commission for the Compact	Professional Services Other	Financial Services	0.00
Cabinet Office	Commission for the Compact	Professional Services Other	Interpretation & Translation Services	0.00
Cabinet Office	Commission for the Compact	Professional Services Other	Learning & Development Services	23487.00
Cabinet Office	Commission for the Compact	Professional Services Other	Legal Services	13643.00
Cabinet Office	Commission for the Compact	Professional Services Other	Operational Services	241395.00
Cabinet Office	Commission for the Compact	Professional Services Other	Technical Services	0.00
Cabinet Office	Commission for the Compact	Professional Services Other	Uncategorised	0.00
Cabinet Office	Commission for the Compact	Professional Services Temporary Staff	Admin & Clerical	18662.00
Cabinet Office	Commission for the Compact	Professional Services Temporary Staff	Interim Managers	0.00
Cabinet Office	Commission for the Compact	Professional Services Temporary Staff	Specialist Contractors	11165.00
Cabinet Office	Commission for the Compact	Professional Services Temporary Staff	Uncategorised	0.00
Cabinet Office	Commission for the Compact	Professional Services Consultancy	Finance Consultancy	29487.00
Cabinet Office	Commission for the Compact	Professional Services Consultancy	"Human Resource, Training & Education Consultancy"	2350.00
Cabinet Office	Commission for the Compact	Professional Services Consultancy	IT/IS Consultancy	0.00
Cabinet Office	Commission for the Compact	Professional Services Consultancy	Legal Consultancy	0.00
Cabinet Office	Commission for the Compact	Professional Services Consultancy	Marketing & Communications Consultancy	0.00
Cabinet Office	Commission for the Compact	Professional Services Consultancy	Org & Change Management Consultancy	22181.00
Cabinet Office	Commission for the Compact	Professional Services Consultancy	PPM Consultancy	0.00
Cabinet Office	Commission for the Compact	Professional Services Consultancy	Procurement Consultancy	0.00
Cabinet Office	Commission for the Compact	Professional Services Consultancy	Property & Construction Consultancy	0.00
Cabinet Office	Commission for the Compact	Professional Services Consultancy	Strategy Consultancy	0.00
Cabinet Office	Commission for the Compact	Professional Services Consultancy	Technical Consultancy	0.00
Cabinet Office	Commission for the Compact	Professional Services Consultancy	Uncategorised	0.00
Cabinet Office	Commission for the Compact	Personnel Related	Events Admissions	19593.00
Cabinet Office	Commission for the Compact	Personnel Related	Staff Childcare	0.00
Cabinet Office	Commission for the Compact	Personnel Related	Staff Health & Safety	2322.00
Cabinet Office	Commission for the Compact	Personnel Related	Staff Medical Care	0.00
Cabinet Office	Commission for the Compact	Personnel Related	Staff Relocation	0.00
Cabinet Office	Commission for the Compact	Personnel Related	Staff Subscriptions	554.00
Cabinet Office	Commission for the Compact	Personnel Related	Uncategorised	47307.00
Cabinet Office	Commission for the Compact	Social Care	Adult Social Care	0.00
Cabinet Office	Commission for the Compact	Social Care	Child Social Care	0.00
Cabinet Office	Commission for the Compact	Social Care	Educational Programmes	0.00
Cabinet Office	Commission for the Compact	Social Care	Emergency Services	0.00
Cabinet Office	Commission for the Compact	Social Care	Entertainment Services	0.00
Cabinet Office	Commission for the Compact	Social Care	Legal Aid	0.00
Cabinet Office	Commission for the Compact	Social Care	Operation of Custodial Facilities	0.00
Cabinet Office	Commission for the Compact	Social Care	Transport Provision	0.00
Cabinet Office	Commission for the Compact	Social Care	Welfare to Work	0.00
Cabinet Office	Commission for the Compact	Social Care	World Programmes	0.00
Cabinet Office	Commission for the Compact	Social Care	Uncategorised	0.00
Cabinet Office	Commission for the Compact	Marketing & Media	Advertising	8445.00
Cabinet Office	Commission for the Compact	Marketing & Media	Marketing	83200.00
Cabinet Office	Commission for the Compact	Marketing & Media	Promotion	33019.00
Cabinet Office	Commission for the Compact	Marketing & Media	Uncategorised	5508.00
Cabinet Office	Commission for the Compact	Facilities	Accommodation Services	108827.00
Cabinet Office	Commission for the Compact	Facilities	Building Management	22808.00
Cabinet Office	Commission for the Compact	Facilities	Catering	12198.00
Cabinet Office	Commission for the Compact	Facilities	Cleaning	7229.00
Cabinet Office	Commission for the Compact	Facilities	Food	0.00
Cabinet Office	Commission for the Compact	Facilities	Office Furniture	0.00
Cabinet Office	Commission for the Compact	Facilities	Security	0.00
Cabinet Office	Commission for the Compact	Facilities	Uncategorised	2180.00
Cabinet Office	Commission for the Compact	Clinical & Medical	Drugs & Biologicals	0.00
Cabinet Office	Commission for the Compact	Clinical & Medical	Medical & Surgical Consumables	0.00
Cabinet Office	Commission for the Compact	Clinical & Medical	Medical & Surgical Equipment	0.00
Cabinet Office	Commission for the Compact	Clinical & Medical	Pathology	0.00
Cabinet Office	Commission for the Compact	Clinical & Medical	Patients Appliances	0.00
Cabinet Office	Commission for the Compact	Clinical & Medical	Radiological & Diagnostic	0.00
Cabinet Office	Commission for the Compact	Clinical & Medical	Uncategorised	0.00
Cabinet Office	Commission for the Compact	Office Solutions	Office Consumables	1232.00
Cabinet Office	Commission for the Compact	Office Solutions	Office Machines	15368.00
Cabinet Office	Commission for the Compact	Office Solutions	Office Services	0.00
Cabinet Office	Commission for the Compact	Office Solutions	Office Supplies	22622.00
Cabinet Office	Commission for the Compact	Office Solutions	Post & Courier	6792.00
Cabinet Office	Commission for the Compact	Office Solutions	Print	40251.00
Cabinet Office	Commission for the Compact	Office Solutions	Records Storage	0.00
Cabinet Office	Commission for the Compact	Office Solutions	Reprographics	0.00
Cabinet Office	Commission for the Compact	Office Solutions	Uncategorised	97.00
Cabinet Office	Commission for the Compact	Construction	Building Repair & Maintenance	0.00
Cabinet Office	Commission for the Compact	Construction	Construction Service Providers	0.00
Cabinet Office	Commission for the Compact	Construction	Construction Supplies	0.00
Cabinet Office	Commission for the Compact	Construction	Design & Build	0.00
Cabinet Office	Commission for the Compact	Construction	Main Contractors	0.00
Cabinet Office	Commission for the Compact	Construction	Prime Contractors	0.00
Cabinet Office	Commission for the Compact	Construction	Uncategorised	0.00
Cabinet Office	Commission for the Compact	ICT	Hardware	12881.00
Cabinet Office	Commission for the Compact	ICT	Maintenance & Support	107.00
Cabinet Office	Commission for the Compact	ICT	Managed / Outsourced Services	20884.00
Cabinet Office	Commission for the Compact	ICT	Networking	0.00
Cabinet Office	Commission for the Compact	ICT	Software	29400.00
Cabinet Office	Commission for the Compact	ICT	Systems Delivery	258865.00
Cabinet Office	Commission for the Compact	ICT	Telecoms	3312.00
Cabinet Office	Commission for the Compact	ICT	Uncategorised	0.00
Cabinet Office	Commission for the Compact	Logistics	Transport	0.00
Cabinet Office	Commission for the Compact	Logistics	Warehousing & Storage	0.00
Cabinet Office	Commission for the Compact	Logistics	Uncategorised	0.00
Cabinet Office	Commission for the Compact	Travel	Air	0.00
Cabinet Office	Commission for the Compact	Travel	Booking Services	0.00
Cabinet Office	Commission for the Compact	Travel	Coach	0.00
Cabinet Office	Commission for the Compact	Travel	Events Organisation	0.00
Cabinet Office	Commission for the Compact	Travel	Ferry	0.00
Cabinet Office	Commission for the Compact	Travel	Hotels	12232.00
Cabinet Office	Commission for the Compact	Travel	Rail	56655.00
Cabinet Office	Commission for the Compact	Travel	Taxi	1642.00
Cabinet Office	Commission for the Compact	Travel	Vehicle Hire	453.00
Cabinet Office	Commission for the Compact	Travel	Uncategorised	2470.00
Cabinet Office	Commission for the Compact	Defence	Airborne Goods and Services	0.00
Cabinet Office	Commission for the Compact	Defence	Marine Goods and Services	0.00
Cabinet Office	Commission for the Compact	Defence	Military Systems	0.00
Cabinet Office	Commission for the Compact	Defence	Munitions	0.00
Cabinet Office	Commission for the Compact	Defence	Wheeled / Tracked Goods and Services	0.00
Cabinet Office	Commission for the Compact	Defence	Uncategorised	0.00
Cabinet Office	Commission for the Compact	Energy & Utilities	Electricity	9817.00
Cabinet Office	Commission for the Compact	Energy & Utilities	Gas	0.00
Cabinet Office	Commission for the Compact	Energy & Utilities	Solid Fuels	0.00
Cabinet Office	Commission for the Compact	Energy & Utilities	Water	0.00
Cabinet Office	Commission for the Compact	Energy & Utilities	Uncategorised	0.00
Cabinet Office	Commission for the Compact	Fuels Lubricants & Gases	Fuels	0.00
Cabinet Office	Commission for the Compact	Fuels Lubricants & Gases	Gases	0.00
Cabinet Office	Commission for the Compact	Fuels Lubricants & Gases	Lubricants	0.00
Cabinet Office	Commission for the Compact	Fuels Lubricants & Gases	Uncategorised	0.00
Cabinet Office	Commission for the Compact	Vehicles	Fleet Management	0.00
Cabinet Office	Commission for the Compact	Vehicles	Leasing	0.00
Cabinet Office	Commission for the Compact	Vehicles	Purchase	0.00
Cabinet Office	Commission for the Compact	Vehicles	Vehicle Disposal	0.00
Cabinet Office	Commission for the Compact	Vehicles	Vehicle Maintenance	0.00
Cabinet Office	Commission for the Compact	Vehicles	Uncategorised	0.00
Cabinet Office	Commission for the Compact	Operational Goods	Animal Related Goods	0.00
Cabinet Office	Commission for the Compact	Operational Goods	Art & Exhibits	0.00
Cabinet Office	Commission for the Compact	Operational Goods	Clothing	0.00
Cabinet Office	Commission for the Compact	Operational Goods	Domestic Goods	0.00
Cabinet Office	Commission for the Compact	Operational Goods	Environmental Materials	0.00
Cabinet Office	Commission for the Compact	Operational Goods	Learning & Development Materials	0.00
Cabinet Office	Commission for the Compact	Operational Goods	Non-Catering Vending Machines	0.00
